x	cos	sin	sinc
-10.0	-0.8390715290764524	0.5440211108893698	-3.898171832519376e-17
-9.95	-0.865212631343072	0.5014051281791974	-0.005004486106751632
-9.899999999999999	-0.8891911526253617	0.4575358937753198	-0.009935673162459455
-9.849999999999998	-0.9109471591078883	0.4125230579170911	-0.014671031908692338
-9.799999999999997	-0.9304262721047546	0.3664791292519251	-0.019091618036503156
-9.749999999999996	-0.9475798039779944	0.31951919362227027	-0.02308503374761841
-9.699999999999996	-0.9623648798313111	0.271760626410939	-0.026548258494870577
-9.649999999999995	-0.9747445446749905	0.22332279916377867	-0.029390278269784156
-9.599999999999994	-0.9846878557941279	0.17432678122297438	-0.03153444702669425
-9.549999999999994	-0.9921699600893018	0.12489503711674527	-0.03292051971517242
-9.499999999999993	-0.997172156196379	0.07515112046180222	-0.033506303808820095
-9.449999999999992	-0.9996819412301851	0.02521936514365162	-0.033268885003163426
-9.399999999999991	-0.9996930420352063	-0.024775425453366647	-0.03220539270811278
-9.34999999999999	-0.9972054308652113	-0.07470829038954364	-0.030333281850632107
-9.29999999999999	-0.9922253254526022	-0.12445442350707228	-0.027690119075294232
-9.24999999999999	-0.9847651734673217	-0.17388948538044405	-0.024332873409650676
-9.199999999999989	-0.9748436214041613	-0.22288991410025805	-0.02033672356062159
-9.149999999999988	-0.9624854679762339	-0.2713332341136447	-0.01579340593449256
-9.099999999999987	-0.9477216021311079	-0.3190983623493639	-0.010809138934981762
-9.049999999999986	-0.9305889258445232	-0.36606591086242424	-0.005502169807973997
-8.999999999999986	-0.9111302618846712	-0.4121184852417695	1.672451776953373e-15
-8.949999999999985	-0.8893942467775748	-0.45714097803516845	0.00556364656560819
-8.899999999999984	-0.8654352092411043	-0.5010208564578985	0.011052040933523778
-8.849999999999984	-0.839313034391475	-0.5436484436661018	0.01632877562719015
-8.799999999999983	-0.8110930140616456	-0.5849171928917761	0.021261120086107064
-8.749999999999982	-0.780845683605738	-0.6247239537542063	0.025723323318775936
-8.699999999999982	-0.7486466455973869	-0.6629692300821967	0.029599782459799273
-8.64999999999998	-0.7145763808626783	-0.699557428602682	0.032787998300973835
-8.59999999999998	-0.6787200473199981	-0.7343970978741267	0.03520124319258952
-8.54999999999998	-0.6411672671295855	-0.767401156867501	0.03677087289823385
-8.499999999999979	-0.6020119026848066	-0.7984871126235031	0.03744822190397547
-8.449999999999978	-0.5613518220050538	-0.8275772664419959	0.037206031157383745
-8.399999999999977	-0.5192886541166659	-0.8545989080882924	0.03603936803050673
-8.349999999999977	-0.47592753503328933	-0.8794844975308759	0.03396601021597659
-8.299999999999976	-0.43137684497059836	-0.902171833756304	0.031026278000027496
-8.249999999999975	-0.3857479374521989	-0.9226042102393498	0.027282312610819343
-8.199999999999974	-0.33915486098381115	-0.9407305566797816	0.02281681179972038
-8.149999999999974	-0.29171407399140104	-0.9565055666515169	0.017731247153447136
-8.099999999999973	-0.24354415373576527	-0.9698898108450928	0.012143600531891525
-8.049999999999972	-0.19476549993113348	-0.9808498356204051	0.006185669163000036
-7.999999999999972	-0.1455000338085854	-0.9893582466233859	-3.572931364395781e-15
-7.949999999999971	-0.09587089337646863	-0.9953937772576227	-0.006263476322290299
-7.89999999999997	-0.046002125639506786	-0.9989413418397735	-0.012451033456756426
-7.8499999999999694	0.003981623454109936	-0.9999920733059185	-0.018408874433203208
-7.799999999999969	0.053955420562680795	-0.9985433453746033	-0.02398690471253262
-7.749999999999968	0.10379435721928477	-0.9945987791111728	-0.029042461811522615
-7.699999999999967	0.15337386203789682	-0.9881682338769954	-0.0334439100519821
-7.649999999999967	0.2025700120769774	-0.9792677826861932	-0.03707401115077529
-7.599999999999966	0.2512598425822884	-0.9679196720314779	-0.03983298571793089
-7.549999999999965	0.2993216543347401	-0.9541522662795044	-0.04164118718939105
-7.4999999999999645	0.34663531783505913	-0.9379999767747266	-0.04244131815783896
-7.449999999999964	0.3930825735649742	-0.9195031758289564	-0.04220012929931426
-7.399999999999963	0.43854732757442383	-0.8987080958116106	-0.04090955289949361
-7.349999999999962	0.4829159416559705	-0.8756667135928642	-0.038587236095700486
-7.299999999999962	0.5260775173811378	-0.8504366206285443	-0.0352764530685234
-7.249999999999961	0.567924173288727	-0.8230808790114833	-0.031045390212310314
-7.19999999999996	0.6083513145322863	-0.7936678638491288	-0.02598581343856897
-7.1499999999999595	0.6472578943127547	-0.7622710923613848	-0.02021114186022118
-7.099999999999959	0.6845466664428363	-0.728969040125848	-0.013853966803986994
-7.049999999999958	0.7201244284118231	-0.6938449449297336	-0.007063069044274758
-6.999999999999957	0.7539022543433327	-0.656986598718757	6.177957103499258e-15
-6.949999999999957	0.785795717263688	-0.6184861281629898	0.007164695937010269
-6.899999999999956	0.8157251001253826	-0.5784397643881639	0.014255531059186794
-6.849999999999955	0.8436155950581835	-0.5369476024479736	0.021096301357760385
-6.7999999999999545	0.8693974903498476	-0.4941133511385688	0.027514390699671452
-6.749999999999954	0.8930063446890975	-0.45004407378057637	0.03334504874656463
-6.699999999999953	0.9143831482353384	-0.4048499206165553	0.03843553841795097
-6.649999999999952	0.933474470112529	-0.3586438534927556	0.042649050421569606
-6.599999999999952	0.9502325919585445	-0.3115413635133323	0.04586828658428487
-6.549999999999951	0.964615627196231	-0.26366018237273126	0.04799862034807716
-6.49999999999995	0.9765876257280341	-0.21511998808776694	0.04897075172058355
-6.4499999999999496	0.9861186637925209	-0.1660421058649073	0.04874278500463409
-6.399999999999949	0.9931849187581986	-0.11654920485044248	0.04730167054003897
-6.349999999999948	0.9977687286676875	-0.06676499152150407	0.04466396618951068
-6.299999999999947	0.999858636383416	-0.016813900484297317	0.04087589006352588
-6.249999999999947	0.9994494182244976	0.03317921654761008	0.036012652646278544
-6.199999999999946	0.996542097023213	0.0830894028175504	0.030177073670594412
-6.149999999999945	0.9911439395684617	0.1327919088525713	0.02349750639033656
-6.099999999999945	0.9832684384425745	0.18216250427215003	0.016125108902999022
-6.049999999999944	0.9729352782968845	0.23107778829944667	0.008230518473078138
-5.999999999999943	0.9601702866503501	0.2794154981989804	-9.462847441180147e-15
-5.9499999999999424	0.9450053693342086	0.3270548148697952	-0.008368846514661517
-5.899999999999942	0.9274784307440139	0.3738766648302904	-0.016671722764136133
-5.849999999999941	0.9076332790983885	0.4197640178399129	-0.024702506718063448
-5.79999999999994	0.8855195169412913	0.46460217941381005	-0.03225825116513421
-5.74999999999994	0.8611924171614902	0.5082790774993103	-0.03914418765901246
-5.699999999999939	0.834712784839126	0.5506855425976888	-0.045178615333382646
-5.649999999999938	0.806146805264679	0.5917155806310594	-0.05019755492096383
-5.5999999999999375	0.7755658785102103	0.6312666378723698	-0.054059052045765256
-5.549999999999937	0.7430464409663676	0.6692398572763089	-0.056647020410794405
-5.499999999999936	0.7086697742912149	0.7055403255704372	-0.05787452476068989
-5.449999999999935	0.672521802248418	0.740077310488938	-0.05768641528071358
